bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807917,-1.6917522644603635,-2.4109282788061064,-2.317662919663228,done,
0.45,-2.174364953616015,-2.080493180345547,-2.172083544569755,-2.0396561011532315,done,
0.65,-1.9440235703536808,-1.8889874275738983,-1.9321910225412302,-1.880706081855068,done,
0.725,-1.8671209783412719,-1.7980513497278354,-1.8510699413643161,-1.7671761038145481,done,
0.8,-1.7956191803270947,-1.718085188255227,-1.7499680994702127,-1.7256263648546093,done,
1.5,-1.3509341607514087,-1.293846182575202,-1.248116432520252,-1.3062907752696504,done,
2.5,-1.1477258043236067,-1.1098975025374935,-1.0962541000564046,-1.11166039991547,done,
3.0,-1.1100242481984997,-1.0645926295458092,-1.0964886848010622,-1.0941209286339812,done,
