bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807953,-2.388149029241077,-2.3873327959333692,-2.311663224894225,done,
0.45,-2.174364953616018,-2.11734371878898,-2.1622295186444345,-2.0841800824351138,done,
0.65,-1.9440235703536834,-1.8825266530522708,-1.9349229056281347,-1.895024390403088,done,
0.725,-1.8671209783412708,-1.8161208903384345,-1.6413398786520779,-1.2472101043653878,done,
0.8,-1.7956191803270944,-1.2743130996632537,-1.7440433935971618,-1.7224852213839728,done,
1.5,-1.3509341607514098,-1.3034868903617713,-1.2247647888796989,-1.2931410771277223,done,
2.5,-1.147725804323609,-1.1327420680848692,-1.113348771955633,-1.1232202644829683,done,
3.0,-1.1100242481984992,-1.0914513067659217,-1.0988048156740944,-1.0924022604186012,done,
