bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807913,-2.3447362509367973,-2.3926429330605927,-2.2313863830310945,done,
0.45,-2.174364953616015,-2.1304789479579482,-2.1712164106126024,-2.0475295417941544,done,
0.65,-1.9440235703536821,-1.8893612143617449,-1.8798526747798818,-1.8666365547120591,done,
0.725,-1.8671209783412726,-1.8142470859043902,-1.8183016279380235,-1.8104171526330264,done,
0.8,-1.7956191803270956,-1.7414121283921016,-1.7636453208704692,-1.727188514458089,done,
1.5,-1.3509341607514096,-1.2913183922443348,-1.2419721727601276,-1.2983934411271114,done,
2.5,-1.1477258043236038,-1.103764771461349,-1.1355086976485265,-1.1269585319085391,done,
3.0,-1.1100242481984997,-1.0709976171701479,-1.1033882884483353,-1.103624629323993,done,
