dataset,observable,input_val,ideal_energy,grad_param_0,grad_param_1,grad_param_2,grad_param_3,grad_param_4,grad_param_5,grad_param_6,grad_param_7,grad_param_8,grad_param_9,grad_param_10,grad_param_11
single_01,IIII,-4.0000000000000036,0.9999999999999996,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,0.0
single_01,IIII,-3.900000000000004,0.9999999999999991,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,2.220446049250313e-16,4.440892098500626e-16,-2.220446049250313e-16,0.0,0.0
single_01,IIII,-3.8000000000000043,1.0,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,0.0,-2.220446049250313e-16
single_01,IIII,-3.7000000000000046,1.0000000000000009,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,0.0
single_01,IIII,-3.600000000000005,0.9999999999999991,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,-4.440892098500626e-16,0.0,2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16
single_01,IIII,-3.5000000000000053,1.0000000000000018,0.0,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,0.0,0.0
single_01,IIII,-3.4000000000000057,0.9999999999999993,0.0,4.440892098500626e-16,0.0,-4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0
single_01,IIII,-3.300000000000006,1.0000000000000013,4.440892098500626e-16,0.0,4.440892098500626e-16,8.881784197001252e-16,8.881784197001252e-16,4.440892098500626e-16,1.3322676295501878e-15,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0
single_01,IIII,-3.2000000000000064,1.0000000000000009,0.0,8.881784197001252e-16,4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0
single_01,IIII,-3.1000000000000068,0.9999999999999993,0.0,-2.220446049250313e-16,0.0,-4.440892098500626e-16,0.0,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,4.440892098500626e-16,2.220446049250313e-16,0.0
single_01,IIII,-3.000000000000007,0.9999999999999993,0.0,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-4.440892098500626e-16,-4.440892098500626e-16,-2.220446049250313e-16,-2.220446049250313e-16
single_01,IIII,-2.9000000000000075,0.9999999999999991,0.0,-4.440892098500626e-16,-2.220446049250313e-16,4.440892098500626e-16,-6.661338147750939e-16,0.0,-4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16
single_01,IIII,-2.800000000000008,0.9999999999999993,-4.440892098500626e-16,-4.440892098500626e-16,-2.220446049250313e-16,0.0,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,0.0
