bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807966,-2.3768021577851184,-2.4037126699597673,-2.344894296138926,done,
0.45,-2.174364953616019,-2.10206929871574,-2.1508028775807104,-2.132367209529635,done,
0.65,-1.944023570353684,-1.858740534941857,-1.939234281781966,-1.8934246005478939,done,
0.725,-1.867120978341263,-1.801547493237373,-1.8520571531368792,-1.818622772637021,done,
0.8,-1.7956191803270942,-1.7508871459172333,-1.7872087357161413,-1.7548954851726597,done,
1.5,-1.3509341607514125,-1.229877353753868,-1.3094966536574613,-1.2491495663816958,done,
2.5,-1.1477258043236085,-1.1267752262210853,-1.1096664512881185,-1.1361309935580728,done,
3.0,-1.1100242481985,-1.074510075486447,-1.0754396614441035,-1.0944466849649737,done,
