bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807917,-2.3459587594851494,-2.4467998653151857,-2.159340907086059,done,
0.45,-2.1743649536160197,-2.081959976609322,-2.155434448843669,-1.9931691296057759,done,
0.65,-1.9440235703536834,-1.8981028905448025,-1.9239900593029204,-1.8559456802631762,done,
0.725,-1.867120978341271,-1.817066100691821,-1.8149058478196014,-1.7779998101243177,done,
0.8,-1.7956191803270993,-1.7161513671430157,-1.7617043394287417,-1.7151868471643104,done,
1.5,-1.3509341607514087,-1.2610690518640688,-1.2176843952865302,-1.2294697098495875,done,
2.5,-1.1477258043236078,-1.1151946293221582,-1.160268477214147,-1.1218652378594351,done,
3.0,-1.110024248198498,-1.0764998513726016,-1.0966063224320621,-1.0936634114778796,done,
