bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807846,-2.3300435190539077,-2.4042515869011156,-2.341350902699943,done,
0.45,-2.174364953616023,-2.12316960892379,-2.1761408057653293,-2.095745954275496,done,
0.65,-1.9440235703536843,-1.8898563178125762,-1.8919189572893893,-1.8780373270370372,done,
0.725,-1.8671209783412737,-1.8140376849734063,-1.8379620560658927,-1.8024984410123854,done,
0.8,-1.795619180327092,-1.2324322684341358,-1.7668578950523182,-1.7378086963505486,done,
1.5,-1.3509341607514094,-1.3188845790512893,-1.2324280104063847,-1.2806739052957319,done,
2.5,-1.1477258043236078,-1.1137317374342746,-1.118983174400638,-1.1564719834910804,done,
3.0,-1.1100242481985012,-1.0805806438231105,-1.083797844231591,-1.1030187135938159,done,
