bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807846,-2.3158210605398355,-2.3869646702021914,-2.3200038986223563,done,
0.45,-2.174364953616023,-2.133033725540068,-2.176240751014788,-2.08450488939568,done,
0.65,-1.9440235703536843,-1.885137359577153,-1.9009752939484459,-1.8679731372376074,done,
0.725,-1.8671209783412737,-1.8342434558515217,-1.8369929287279319,-1.8086558988170354,done,
0.8,-1.795619180327092,-1.2435790536013451,-1.7441239021502413,-1.737077286741874,done,
1.5,-1.3509341607514094,-1.213108183516265,-1.3450793257381912,-1.241387488479799,done,
2.5,-1.1477258043236078,-1.1042834170362519,-1.1306154482289106,-0.9954583978094316,done,
3.0,-1.1100242481985012,-1.0787672177184642,-1.0777333553368043,-1.1090214457455905,done,
