bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807953,-2.3803605337478553,-2.4039904581788174,-2.282091743996356,done,
0.45,-2.174364953616018,-2.1239836082000605,-2.1639538397635265,-2.0341377998567074,done,
0.65,-1.9440235703536834,-1.8820281575486892,-1.9027324480089811,-1.8752931058086262,done,
0.725,-1.8671209783412708,-1.808539079793684,-1.8528783937719777,-1.7866698800611887,done,
0.8,-1.7956191803270944,-1.733484023425303,-1.7231099724068082,-1.698968300571532,done,
1.5,-1.3509341607514098,-1.2094306998829465,-1.244380745526897,-1.3149468398556594,done,
2.5,-1.147725804323609,-1.1017439186005913,-1.146641515843086,-1.1256758929589712,done,
3.0,-1.1100242481984992,-1.0899065252790834,-1.092646977032663,-1.0873756135086043,done,
