noisy_energy,ideal_energy,zne_energy,observable,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
0.2138100400823875,0.22721296809347177,0.2575126656643186,YYXX,1.84111906870461,-2.517294840239,1.452488750215073,-0.8034165905048165,1.8489965501267962,-2.177100253907158,-1.3129200437076478,1.0545690746454461,2.588662142318629,2.745945543746415,-0.461731363479303,-1.0561004238137826
0.4732187217434681,0.51341897507388,0.49923701208584137,XXXX,-0.11794494272634948,2.4593162769058967,2.6045006654986746,-2.193823138714467,-2.1697612940958613,-2.2421648453252296,-2.8715493073549077,1.124052648121416,-2.7862460542357366,2.9005956090216394,0.6451800364558951,2.6455119166797934
0.058033634018817705,0.08172109898697567,0.07400085571753764,YYXX,-1.255926286555125,-1.0572897631658802,-1.132090529077903,-3.123736846093513,2.0414846535951776,-1.5620537489117396,-2.88870945267126,-0.8461258444512345,-0.5803870966246976,2.3641964414272048,2.9168673130364615,-2.2305153471275263
-0.09268663164821131,-0.078766328215824,-0.09365186359343523,XXXX,0.7732001776526456,-0.4429141178586953,2.309072193003354,2.4427940947094244,-0.48969162916215536,-1.9974528940968437,-0.5152604882540603,-0.44916058338195564,1.5594762435017424,2.3074735292788953,0.08217990994289304,-2.7766280617276293
0.03379349605958781,0.05304703198811978,0.03450452815410899,YYXX,2.028853817913398,2.284142046395326,-0.6766826975514575,2.453599077653708,-3.0558784625748703,-0.8356032135537355,-0.2752150374686093,2.9965887086832845,-0.6365699000168732,-1.7711943452104948,-0.9571383159083227,1.3460651573273195
0.18681006647737824,0.20958952715369014,0.21163162169585775,XXXX,1.4970290108430202,-0.08676242422778824,1.251658447516487,2.8775026000994677,1.0688808385588144,-1.921885431705813,-1.534384728295813,-1.298180642873242,-0.09934514071648826,-0.6790543625776921,-2.296022431780874,3.130213169308057
-0.12928590147197103,-0.14460314772484387,-0.11468196337169644,YYXX,2.1623978906102623,0.2682387729931319,-1.8241290093028195,0.3388987658992284,-1.4242059064823211,0.7263583040568506,-0.12286542623682184,2.4016729552639635,-0.28197942368816786,-0.7742925962988072,1.2106743553859793,-0.7966900819584017
0.06086052335423929,0.04900299020346605,0.06452989825944451,XXXX,-2.6795625677404504,-0.1327676525044028,0.5077068682780355,-0.37930885744948917,-2.0872836541776874,-1.913712002228894,-0.2801277477542925,0.9822848433476494,-1.2752219952202357,-1.5274231352221677,-2.638330899678605,2.561466935960828
0.1334957125945569,0.14419857642523853,0.14923186585474402,YYXX,0.6888638900220729,-2.6180579748067387,-2.8400511032192166,-2.638533379966888,-1.3579145302124234,-1.4065856953457105,2.627554992901408,-0.35468163143025055,-1.5577469043314875,0.7241348395242215,1.1909001528381848,0.2202430122037029
0.1618108520024643,0.1556326156813786,0.16287033122144592,XXXX,-0.1542386869781991,-1.2187789255681456,-2.8350704715046904,0.8475783299287785,-0.9902682312106972,1.7754227709989117,1.6078137668510832,-2.4621009225070276,2.5930748881670462,-0.9920529050871396,0.6139723508555943,-0.011638414757035864
-0.3136135360016885,-0.37177491720495853,-0.3657406079622545,YYXX,2.195670675555977,0.44337069455769473,0.9226977962304446,-1.9113601817822394,2.501026631383845,2.4814862893855345,-1.970956903846913,1.6947287257504522,-2.0462492161467543,0.22012512288563935,-1.5874818593398983,3.020140725557468
-0.4654158467501024,-0.5025916059525452,-0.46917794881451214,XXXX,2.8416954607053073,2.413226368449158,-0.6676492481157474,-1.608128716765958,-1.3981908242245609,-2.5497216883674625,-2.2039155459811335,2.4754765304866764,-2.3335178925052507,-1.9344968200907584,-0.9203740342777005,-2.4814440679377134
-0.2870820952864037,-0.3317187679813893,-0.28840249446042115,YYXX,-0.4783212941100339,-1.3976557274466268,-2.7016103656270305,2.356490024959654,2.684730204891612,0.2372199061812963,0.5431320936013355,1.4272165629398534,1.4091185665665797,0.22306757954781942,1.701567018974517,0.21202342966330434
0.025113249068738432,0.023625435779145186,0.01913471096130043,XXXX,2.4160016540763705,-0.26452364166279185,-0.8216222948778404,-0.2740246108796254,-2.2722452597089644,-0.9360467896863849,-0.018463540598760098,-2.100532310514656,-1.4015069006895726,-0.02311956631471901,2.333926390121568,-0.6083555200038915
0.027861046686286344,0.01924750735717697,0.030925228553080213,YYXX,1.6297981344248482,1.8638828558692389,2.893191982101218,-3.1002117223448287,1.5907658266780347,-2.383467832628151,-1.9360956272566916,-1.0215576904937045,3.105547644410742,-2.1638535739367826,2.2042510694410504,0.6523187889330813
-0.17109608892376363,-0.20946135906360955,-0.2016638017585126,XXXX,-0.30135939810205326,1.4113969188940851,1.6066447811207016,-0.21081141461306885,1.117184029861371,-2.082876170967954,-0.2752589686300464,-3.024001812909421,1.3553973872353922,1.2102993703162852,-2.1069075965977158,1.560569040252921
-0.23291048832149652,-0.27557086758226934,-0.23319162415255387,YYXX,-2.3459861090274674,-1.7503851139413298,1.1902464059501607,-2.597731466289757,2.3151272927826545,1.5851754568667564,2.791003197358873,1.3254717231001445,-0.048669153212819616,1.97214488998568,-1.2077046092826706,-2.3187148846759182
