bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807913,-2.3379287165670157,-2.363922883997656,-2.372863827723211,done,
0.45,-2.174364953616014,-2.0795480253249727,-2.1558862915784283,-2.1287086596614953,done,
0.65,-1.9440235703536846,-1.8784643755098942,-1.9023387012298165,-1.8993159824530919,done,
0.725,-1.8671209783412697,-1.6853285879668647,-1.8485807845677817,-1.8210673610129948,done,
0.8,-1.7956191803270904,-1.715142271981743,-1.7544017699455456,-1.747377565641186,done,
1.5,-1.350934160751407,-1.2166305246382607,-1.3353344640546037,-1.295472843782631,done,
2.5,-1.1477258043236076,-1.1274848620537936,-1.1470616562076443,-1.1358499782398335,done,
3.0,-1.1100242481984994,-1.08586867928072,-1.0990031319885203,-1.0907779141435472,done,
