bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807824,-2.350764493574548,-2.426366589857188,-2.283143983401207,done,
0.45,-2.174364953616017,-2.089758539000805,-2.1610847519295775,-2.050729703489143,done,
0.65,-1.9440235703536843,-1.8920277341995289,-1.9201985252050544,-1.8520044952445367,done,
0.725,-1.8671209783412677,-1.7956731785483906,-1.8584622892986007,-1.7903447321428945,done,
0.8,-1.7956191803270969,-1.7255308743403852,-1.7908248051512559,-1.2459135967814376,done,
1.5,-1.3509341607514103,-1.265743009960805,-1.3416371646894074,-1.2331560082627764,done,
2.5,-1.1477258043236056,-1.1110106200853187,-1.1239906686207504,-1.126277371090884,done,
3.0,-1.110024248198499,-1.054745506743458,-1.0713754313454547,-1.1024418794088535,done,
