bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807913,-2.3416502423204055,-2.4307407942005947,-2.344426473139119,done,
0.45,-2.174364953616014,-2.1005553066891594,-2.143023179123705,-2.1002114691954845,done,
0.65,-1.9440235703536846,-1.8742208186935727,-1.9058193340808778,-1.872221587024228,done,
0.725,-1.8671209783412697,-1.794029874919757,-1.857757357371084,-1.8039532748645675,done,
0.8,-1.7956191803270904,-1.7165308855625645,-1.743741987966481,-1.7230953840703616,done,
1.5,-1.350934160751407,-1.233114389367468,-1.2415913737745858,-1.2274156794845266,done,
2.5,-1.1477258043236076,-1.1102472694232437,-1.141858415401729,-1.1310872132873264,done,
3.0,-1.1100242481984994,-1.0668618554791864,-1.1114662376487734,-1.0830571378821632,done,
