bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807846,-2.318263013132913,-2.4109629487513704,-2.15644496296903,done,
0.45,-2.174364953616023,-2.103421437527645,-2.167637562009438,-1.9918863769977186,done,
0.65,-1.9440235703536843,-1.9017216105461232,-1.9246180711420193,-1.7932859510123722,done,
0.725,-1.8671209783412737,-1.8084029432217115,-1.8347521387262726,-1.7523814159043751,done,
0.8,-1.795619180327092,-1.2390745538248298,-1.7591757884165438,-1.688946829388585,done,
1.5,-1.3509341607514094,-1.2750164340899053,-1.3416813121748885,-1.272458993862955,done,
2.5,-1.1477258043236078,-1.1041858575158525,-1.1245953149112382,-1.148210818990051,done,
3.0,-1.1100242481985012,-1.0723178423855886,-1.1028208849106687,-1.0928086861541624,done,
