bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807917,-2.358159523102957,-2.3978262194572397,-2.0477900826037447,done,
0.45,-2.174364953616016,-2.0966685864653054,-2.1630226571981117,-2.1096928133470687,done,
0.65,-1.94402357035368,-1.883365142958305,-1.9074304406863685,-1.8834943164071256,done,
0.725,-1.8671209783412726,-1.8074371908460152,-1.8523308887766248,-1.8178478561809701,done,
0.8,-1.795619180327101,-1.7054078255650533,-1.7696818632815012,-1.7606176412845704,done,
1.5,-1.3509341607514112,-1.2291022510367313,-1.2912376636462326,-1.3100864330677766,done,
2.5,-1.1477258043236063,-1.1257209316682555,-1.1214919123709735,-1.1257736027978495,done,
3.0,-1.110024248198499,-1.0752810406570563,-1.077508869330238,-1.092262672232011,done,
