bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807917,-2.364355127138643,-2.258590120385498,-1.8770151003208546,done,
0.45,-2.174364953616016,-2.106677289402966,-2.185801779519696,-2.0321125496350643,done,
0.65,-1.94402357035368,-1.8797541880134645,-1.9513910575904718,-1.8712400935304274,done,
0.725,-1.8671209783412726,-1.7754535015034074,-1.8470242371851286,-1.7775439418585612,done,
0.8,-1.795619180327101,-1.7463721689644036,-1.7732622278414734,-1.7316675246960584,done,
1.5,-1.3509341607514112,-1.2402053204072692,-1.2444900761066346,-1.3175504332314363,done,
2.5,-1.1477258043236063,-1.1089551443970818,-1.1476303819067297,-1.1112086488228923,done,
3.0,-1.110024248198499,-1.086188862342935,-1.0862759630336358,-1.0782247797053528,done,
