bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807966,-2.3618589679126223,-2.4131727358467168,0.15803497225289515,done,
0.45,-2.174364953616019,-2.093198368915369,-2.1438314651888137,0.16229999737552658,done,
0.65,-1.944023570353684,-1.8615159678219664,-1.9032994862598644,0.17298616299974579,done,
0.725,-1.867120978341263,-1.828076058091102,-1.818568862507302,0.1758112348592179,done,
0.8,-1.7956191803270942,-1.7269314906487543,-1.7571266148051938,0.18112387244490025,done,
1.5,-1.3509341607514125,-1.284027753450542,-1.2081628583899455,0.22771350026937576,done,
2.5,-1.1477258043236085,-1.1215822642851148,-1.1630050013816584,0.28130760715346603,done,
3.0,-1.1100242481985,-1.0900050976557234,-1.081915417954297,0.29504576867994636,done,
