bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807824,-2.3404340500192173,-2.4243490556592655,-2.3417564871996635,done,
0.45,-2.174364953616017,-2.078264508350686,-2.161253558939586,-2.1094441838980886,done,
0.65,-1.9440235703536843,-1.8793454971212702,-1.927448344958524,-1.8918812779694574,done,
0.725,-1.8671209783412677,-1.8122871162293186,-1.843202801973002,-1.8121376675398007,done,
0.8,-1.7956191803270969,-1.6979847496407812,-1.748816833059067,-1.7520137688471558,done,
1.5,-1.3509341607514103,-1.2851834330264738,-1.318614643657425,-1.2898369488274106,done,
2.5,-1.1477258043236056,-1.1229877903958578,-1.138709238885952,-1.1286558250187957,done,
3.0,-1.110024248198499,-1.0843795319206653,-1.0740534284303414,-1.0989103256341644,done,
