bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807886,-2.368026070492285,-2.4051084709224035,-2.1546302716879553,done,
0.45,-2.174364953616019,-2.1047235528303685,-2.1257954535535863,-1.9516701135755647,done,
0.65,-1.9440235703536797,-1.8675587716490945,-1.8935397473708324,-1.8046923051952757,done,
0.725,-1.8671209783412654,-1.7668878794142786,-1.8724869314946564,-1.7293679361123202,done,
0.8,-1.7956191803270933,-1.7182254627989497,-1.7571272696367088,-1.6870507837196809,done,
1.5,-1.3509341607514087,-1.238985147525129,-1.203211055471951,-1.2677915837664164,done,
2.5,-1.147725804323606,-1.1321002029813736,-1.109708581981765,-1.1467622553372645,done,
3.0,-1.1100242481984997,-1.0717808338600727,-1.0958354612128356,-1.0620628112521102,done,
