bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807913,-2.346986185965987,-2.432937056543451,-2.1775454076812695,done,
0.45,-2.174364953616015,-2.057019659231666,-2.1407907520414504,-2.0341286977676845,done,
0.65,-1.9440235703536821,-1.8765029368710902,-1.8985191045656515,-1.8436421457689163,done,
0.725,-1.8671209783412726,-1.7959431524172764,-1.8632307227072171,-1.7486482456147097,done,
0.8,-1.7956191803270956,-1.7426403162154958,-1.77771131063391,-1.6992064610285902,done,
1.5,-1.3509341607514096,-1.2037802146187406,-1.3384483881431748,-1.2087504341430528,done,
2.5,-1.1477258043236038,-1.1205710227494796,-1.1427291438170495,-1.112104597344742,done,
3.0,-1.1100242481984997,-1.0774626586346006,-1.0925503699675343,-1.1091816052329162,done,
