bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807944,-2.332793218067353,-2.388191420549123,-2.276150134861981,done,
0.45,-2.1743649536160214,-2.114928772032989,-2.1586577685298263,-2.0540629159563606,done,
0.65,-1.9440235703536786,-1.8912244556595719,-1.9205653568615448,-1.869649267810087,done,
0.725,-1.867120978341272,-1.7855580392052846,-1.851986012390704,-1.804481970658077,done,
0.8,-1.7956191803270918,-1.726525761688177,-1.7689455499596736,-1.7369291245931984,done,
1.5,-1.3509341607514076,-1.2066708855600767,-1.2978209486195413,-1.2936895885867576,done,
2.5,-1.1477258043236065,-1.1213953005845214,-1.1318138729056197,-1.163422834530797,done,
3.0,-1.1100242481984985,-1.0877276103065603,-1.0913550554778444,-1.0989824748194437,done,
