bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807913,-2.3222132234393906,-2.413774406821279,-2.2509785749109934,done,
0.45,-2.174364953616016,-2.1099967746650465,-2.196605451046393,-2.022108856808784,done,
0.65,-1.9440235703536837,-1.903878872260432,-1.9031908203162986,-1.860451164380473,done,
0.725,-1.8671209783412717,-1.7827303700975854,-1.8230385252094836,-1.8032270190946127,done,
0.8,-1.7956191803271015,-1.7305983189147698,-1.803224430586475,-1.7195727167407378,done,
1.5,-1.3509341607514096,-1.304807394395164,-1.2635123569187514,-1.2231612902784095,done,
2.5,-1.1477258043236054,-1.1212883910478577,-1.1280856346783028,-1.1567548935950387,done,
3.0,-1.1100242481985032,-1.103323914097439,-1.0608657002575288,-1.1158523505102864,done,
