bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807935,-2.353124716505179,-2.389818978976489,-2.1560007519001814,done,
0.45,-2.174364953616016,-2.1050063733765465,-2.1683336379101874,-1.9500903382182535,done,
0.65,-1.944023570353681,-1.8751831832905057,-1.8729060722251138,-1.7789730170479654,done,
0.725,-1.8671209783412697,-1.2424693044318014,-1.820265616479737,-1.7244640259645738,done,
0.8,-1.7956191803270949,-1.6933444535217186,-1.7462654329955996,-1.6804376753318646,done,
1.5,-1.3509341607514096,-1.2247127094596149,-1.300122367467448,-1.297727690589791,done,
2.5,-1.1477258043236076,-1.1184207420455357,-1.1403585027134746,-1.1395980492719202,done,
3.0,-1.1100242481984997,-1.0785879965744465,-1.0976842018690345,-1.1099823325582927,done,
