bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807846,-2.331683783608952,-2.4183403077694603,-2.327912813658354,done,
0.45,-2.1743649536160126,-2.1104646299811116,-2.1880896338494127,-2.101788521557679,done,
0.65,-1.944023570353685,-1.880335283771156,-1.9189508059465512,-1.879825376428901,done,
0.725,-1.8671209783412732,-1.812772184361548,-1.829222595541261,-1.8069311010916045,done,
0.8,-1.7956191803270958,-1.746688877989266,-1.7616570864797871,-1.742081329170467,done,
1.5,-1.3509341607514092,-1.2831645882769611,-1.2817278047977998,-1.225607846210628,done,
2.5,-1.1477258043236072,-1.1162315435838857,-1.1285081328642452,-1.140233159299307,done,
3.0,-1.1100242481985019,-1.0835745344551004,-1.0780275013692173,-1.1166224546797028,done,
