bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807966,-2.363193280694816,-2.3779303676202295,-2.354888440185245,done,
0.45,-2.174364953616019,-2.1022838726112916,-2.156204362576129,-2.1171218177657503,done,
0.65,-1.944023570353684,-1.8264043937525767,-1.9511435994960056,-1.8848668367134371,done,
0.725,-1.867120978341263,-1.763751922845005,-1.8442284543834093,-1.798233116458806,done,
0.8,-1.7956191803270942,-1.7515604239881148,-1.7933332006752347,-1.7504326613923573,done,
1.5,-1.3509341607514125,-1.2755645725636389,-1.227339709388459,-1.233601691142899,done,
2.5,-1.1477258043236085,-1.1087465126744105,-1.1422461223071267,-1.128408908795559,done,
3.0,-1.1100242481985,-1.0853970471942966,-1.0600334658745074,-1.0971570680490534,done,
