bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807913,-2.3252713371441835,-2.417871641796315,-2.2591542497442765,done,
0.45,-2.174364953616014,-2.1071464698033386,-2.1682593822293157,-2.055028217380375,done,
0.65,-1.9440235703536846,-1.883532582037903,-1.9400767342912142,-1.8531019558424757,done,
0.725,-1.8671209783412697,-1.797541378928344,-1.8464453206989622,-1.7845220574538398,done,
0.8,-1.7956191803270904,-1.7198689061568493,-1.7462321149828355,-1.6877004556644744,done,
1.5,-1.350934160751407,-1.2470160947971345,-1.3005743135402923,-1.227319958713235,done,
2.5,-1.1477258043236076,-1.1151059986840328,-1.1191357784033544,-1.1313872983355568,done,
3.0,-1.1100242481984994,-1.0636377269141948,-1.1202043442859426,-1.0750030717038892,done,
