bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807913,-2.3357038445454057,-2.431592321272753,-2.2387496395552566,done,
0.45,-2.174364953616017,-2.105307511251785,-2.1389271764516686,-2.002555844951663,done,
0.65,-1.9440235703536832,-1.8696602128337274,-1.9239821569000028,-1.8745616031024228,done,
0.725,-1.8671209783412732,-1.8154109450452534,-1.8535782557364842,-1.8110329111968504,done,
0.8,-1.7956191803270944,-1.7524534712404274,-1.7518470841746643,-1.7216888329429423,done,
1.5,-1.3509341607514092,-1.2483784308351422,-1.223211539682244,-1.3138062181969226,done,
2.5,-1.1477258043236105,-1.1233495319143678,-1.1330704665369278,-1.1603164974303946,done,
3.0,-1.1100242481984959,-1.0875649627942892,-1.1238920039106115,-1.0705151328272433,done,
