bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807953,-2.3723760607305233,-2.420201844149533,-2.0967692431365625,done,
0.45,-2.174364953616018,-2.124222324090507,-2.1960147367987246,-1.9220950220213973,done,
0.65,-1.9440235703536834,-1.8879210578370063,-1.9411426935578613,-1.8173729240714092,done,
0.725,-1.8671209783412708,-1.821529379041999,-1.3412767140934427,-1.6733052870862357,done,
0.8,-1.7956191803270944,-1.7454873221844622,-1.7659526866852953,-1.6411746245513261,done,
1.5,-1.3509341607514098,-1.2320566528961796,-1.2442111978870094,-1.2244642563022667,done,
2.5,-1.147725804323609,-1.1233744325547645,-1.117089905153238,-1.1062510073649077,done,
3.0,-1.1100242481984992,-1.0783016813682498,-1.107586288335821,-1.1128517650858099,done,
