bond_length,ideal_energy,noisy_energy,zne_energy,mitigated_energy,status,error_msg
0.25,-2.4289787463807966,-2.3578260634412516,-2.3975345807243853,-2.3516958958062166,done,
0.45,-2.174364953616019,-2.1029021154142264,-2.140647851490021,-2.0909703488436544,done,
0.65,-1.944023570353684,-1.7565399135539208,-1.9349151746806375,-1.8704135568296427,done,
0.725,-1.867120978341263,-1.797281996218287,-1.8280999312296518,-1.8044103879907047,done,
0.8,-1.7956191803270942,-1.7472012702841158,-1.752931624650298,-1.7434217706855266,done,
1.5,-1.3509341607514125,-1.2345020411344036,-1.2812501426041825,-1.238758123168588,done,
2.5,-1.1477258043236085,-1.1101898723158363,-1.1076866166870154,-1.10901284680816,done,
3.0,-1.1100242481985,-1.0942398553919406,-1.0954964103170033,-1.074110447708719,done,
